,freeze,snowfall
Alabama,45.20879413,8.190850288
Arizona,34.63500495,7.436029897
Arkansas,63.00048782,17.8766669
California,17.18913649,13.07886502
Colorado,137.9581056,73.95295474
Connecticut,91.81561075,54.23710711
Delaware,77.25013722,28.1000183
District of Columbia,81.11906816,29.02329594
Florida,5.564338097,0.315281806
Georgia,43.04102392,7.376503594
Idaho,118.8401416,106.4504198
Illinois,89.99398648,56.13171049
Indiana,90.19727288,58.88593443
Iowa,95.65483862,73.04925686
Kansas,94.56741526,38.76296768
Kentucky,84.07771822,39.01185731
Louisiana,22.18402852,3.924410615
Maine,86.74734845,88.11497071
Maryland,84.88740783,35.78353285
Massachusetts,91.06547913,64.58213655
Michigan,85.53423824,95.44232793
Minnesota,86.44650738,99.21290057
Mississippi,41.6931135,8.004239509
Missouri,89.43500069,43.60330064
Montana,124.3357292,120.6477621
Nebraska,106.3331367,57.05459296
Nevada,80.09582894,34.89246614
New Hampshire,91.5943141,95.38369267
New Jersey,89.01935323,42.44318137
New Mexico,116.4344764,33.17636633
New York,90.50374059,95.90109013
North Carolina,70.22621043,21.31883817
North Dakota,93.5253062,101.6574232
Ohio,91.56838806,69.11462327
Oklahoma,70.07564665,20.97478407
Oregon,69.78931234,56.83522009
Pennsylvania,97.70141251,74.2019751
Rhode Island,85.32304318,45.3011471
South Carolina,47.69795614,10.04246328
South Dakota,105.8140748,79.17195772
Tennessee,72.99662053,27.34074487
Texas,28.25430074,6.852890775
Utah,124.0449407,77.41046266
Vermont,90.36694115,120.5008443
Virginia,86.97010845,33.61014144
Washington,75.30189471,74.70942101
West Virginia,93.47183711,66.21268851
Wisconsin,86.46085183,96.70706463
Wyoming,133.9993744,106.2012697
